original_sentence,summary,level
"of you have seen at least one of these movies here? So most of you have seen at least one of these movies. So you know what I said, I'm not going to make any spoiler, but you know what I'm saying when I say that the machines that we.|","How many of you have seen at least one of these movies? So, most have, right? I promise no spoilers, but you grasp my point about the machines.|",2
"of you have seen at least one of these movies here? So most of you have seen at least one of these movies. So you know what I said, I'm not going to make any spoiler, but you know what I'm saying when I say that the machines that we.|","Who among you has seen at least one of these movies? Most of you, I assume. I will refrain from spoilers, but you understand what I mean when I mention the machines.|",1
"imagine in the future, all of them have some kind of emotional intelligence. But on the other side, emotions are so complex, right? Even for us sometimes it's difficult to know how others feel. We can grasp some information about the upper and emotional states of people, but it's complex.|","In the future, everyone might have emotional intelligence, but emotions are complex, even for us. We struggle to understand others' feelings. We can sense emotional states, but it is challenging.|",1
"imagine in the future, all of them have some kind of emotional intelligence. But on the other side, emotions are so complex, right? Even for us sometimes it's difficult to know how others feel. We can grasp some information about the upper and emotional states of people, but it's complex.|","Future people may have emotional intelligence, but emotions are tricky. We sometimes find it hard to read feelings. We can gather clues about emotional states, but it's not easy.|",2
"imagine in the future, all of them have some kind of emotional intelligence. But on the other side, emotions are so complex, right? Even for us sometimes it's difficult to know how others feel. We can grasp some information about the upper and emotional states of people, but it's complex.|","In the future, people may possess emotional intelligence. Yet, emotions are complicated. We often struggle to interpret others’ feelings. We can notice emotional clues, but it’s difficult.|",3
"imagine in the future, all of them have some kind of emotional intelligence. But on the other side, emotions are so complex, right? Even for us sometimes it's difficult to know how others feel. We can grasp some information about the upper and emotional states of people, but it's complex.|","Someday, everyone could have emotional intelligence. However, emotions stay complex. It’s hard for us to understand others' emotions. We can detect some clues, but it’s complex.|",4
"imagine in the future, all of them have some kind of emotional intelligence. But on the other side, emotions are so complex, right? Even for us sometimes it's difficult to know how others feel. We can grasp some information about the upper and emotional states of people, but it's complex.|","In the future, people may develop emotional intelligence. But emotions are very complex. It’s hard for us to know how others feel. We can sense it, but it’s complicated.|",5
"imagine in the future, all of them have some kind of emotional intelligence. But on the other side, emotions are so complex, right? Even for us sometimes it's difficult to know how others feel. We can grasp some information about the upper and emotional states of people, but it's complex.|","Everyone might gain emotional intelligence in the future. But emotions are hard to understand. Even for us, knowing others' feelings is tough. We get some hints, but it’s tricky.|",6
"imagine in the future, all of them have some kind of emotional intelligence. But on the other side, emotions are so complex, right? Even for us sometimes it's difficult to know how others feel. We can grasp some information about the upper and emotional states of people, but it's complex.|","In the future, everyone might have emotional intelligence, but emotions are tricky. We find it hard to understand others' feelings. We notice hints, but it’s difficult.|",7
"imagine in the future, all of them have some kind of emotional intelligence. But on the other side, emotions are so complex, right? Even for us sometimes it's difficult to know how others feel. We can grasp some information about the upper and emotional states of people, but it's complex.|","Future people might have emotional intelligence, but emotions are hard. We struggle to read others' feelings. We sense hints but it’s not simple.|",8
"imagine in the future, all of them have some kind of emotional intelligence. But on the other side, emotions are so complex, right? Even for us sometimes it's difficult to know how others feel. We can grasp some information about the upper and emotional states of people, but it's complex.|","Future people could have emotional intelligence, but emotions are hard. We find it tough to read others' feelings. We get hints, but it’s not easy.|",9
"sometimes to know how others feel or even how we feel. So how can machines do something that complex? Well, the thing is that when our emotions change, there are a lot of things that change in our body. So for instance, when we are nervous, usually our heart rate.|","It's hard for humans to understand feelings. How can machines do it? When we feel emotions, our body changes. For example, being nervous changes our heart rate.|",9
"sometimes to know how others feel or even how we feel. So how can machines do something that complex? Well, the thing is that when our emotions change, there are a lot of things that change in our body. So for instance, when we are nervous, usually our heart rate.|","It is hard to know feelings. How can machines understand? When emotions change, our body does too. For example, nervousness alters heart rate.|",8
"sometimes to know how others feel or even how we feel. So how can machines do something that complex? Well, the thing is that when our emotions change, there are a lot of things that change in our body. So for instance, when we are nervous, usually our heart rate.|",Understanding feelings is tough for humans. Machines have it harder. Emotions cause body changes like increased heart rate when nervous.|,7
"sometimes to know how others feel or even how we feel. So how can machines do something that complex? Well, the thing is that when our emotions change, there are a lot of things that change in our body. So for instance, when we are nervous, usually our heart rate.|","Knowing feelings is complex. Machines struggle more. Emotions change the body, like a higher heart rate when nervous.|",6
"sometimes to know how others feel or even how we feel. So how can machines do something that complex? Well, the thing is that when our emotions change, there are a lot of things that change in our body. So for instance, when we are nervous, usually our heart rate.|","Knowing feelings is hard. Machines find it tougher. Emotions change the body, such as a faster heart rate when nervous.|",5
"sometimes to know how others feel or even how we feel. So how can machines do something that complex? Well, the thing is that when our emotions change, there are a lot of things that change in our body. So for instance, when we are nervous, usually our heart rate.|","It's difficult to know how we feel. Machines can't easily do it. Emotions affect the body, like increased heart rate when nervous.|",4
"sometimes to know how others feel or even how we feel. So how can machines do something that complex? Well, the thing is that when our emotions change, there are a lot of things that change in our body. So for instance, when we are nervous, usually our heart rate.|","It's complex to understand feelings. Machines find it harder. With emotion changes, the body changes too, such as quicker heart rate when anxious.|",3
"sometimes to know how others feel or even how we feel. So how can machines do something that complex? Well, the thing is that when our emotions change, there are a lot of things that change in our body. So for instance, when we are nervous, usually our heart rate.|","It is complex for humans to know feelings. Machines struggle more. Emotions cause body changes, like heightened heart rate when anxious.|",2
"sometimes to know how others feel or even how we feel. So how can machines do something that complex? Well, the thing is that when our emotions change, there are a lot of things that change in our body. So for instance, when we are nervous, usually our heart rate.|",It is very complex to understand emotions. Machines face a tougher challenge. The body's response to emotions includes a raised heart rate when anxious.|,1
"increases, also our respiration rate increases, we sweat, so the electrodermal activity in our skin also changes. Our facial expression changes, our gaze patterns change, our pupil changes as well, our blood pressure, and we have different body postures. We use different gestures depending on how we feel. Our voice.|","Many things change, like our breath, sweat, skin, face, eyes, pupils, blood pressure, posture, gestures, and voice.|",9
"increases, also our respiration rate increases, we sweat, so the electrodermal activity in our skin also changes. Our facial expression changes, our gaze patterns change, our pupil changes as well, our blood pressure, and we have different body postures. We use different gestures depending on how we feel. Our voice.|","When we feel, changes occur in breathing, sweating, skin, facial expressions, eye movements, pupils, blood pressure, body posture, gestures, and voice.|",8
"increases, also our respiration rate increases, we sweat, so the electrodermal activity in our skin also changes. Our facial expression changes, our gaze patterns change, our pupil changes as well, our blood pressure, and we have different body postures. We use different gestures depending on how we feel. Our voice.|","Emotions change respiration, sweating, skin, facial gestures, gaze, pupils, blood pressure, body posture, gestures, and voice.|",7
"increases, also our respiration rate increases, we sweat, so the electrodermal activity in our skin also changes. Our facial expression changes, our gaze patterns change, our pupil changes as well, our blood pressure, and we have different body postures. We use different gestures depending on how we feel. Our voice.|","Feelings impact breathing rate, perspiration, skin conductance, facial expressions, eye movements, pupils, blood pressure, body posture, and voice.|",6
"increases, also our respiration rate increases, we sweat, so the electrodermal activity in our skin also changes. Our facial expression changes, our gaze patterns change, our pupil changes as well, our blood pressure, and we have different body postures. We use different gestures depending on how we feel. Our voice.|","Emotions lead to changes in respiration, sweating, electrodermal activity, facial expression, gaze patterns, pupils, blood pressure, body postures, gestures, and voice.|",5
"increases, also our respiration rate increases, we sweat, so the electrodermal activity in our skin also changes. Our facial expression changes, our gaze patterns change, our pupil changes as well, our blood pressure, and we have different body postures. We use different gestures depending on how we feel. Our voice.|","Emotions cause increases in respiration rate, sweating, changes in electrodermal activity, facial expressions, gaze patterns, pupil dilation, blood pressure, body postures, gestures, and voice.|",4
"increases, also our respiration rate increases, we sweat, so the electrodermal activity in our skin also changes. Our facial expression changes, our gaze patterns change, our pupil changes as well, our blood pressure, and we have different body postures. We use different gestures depending on how we feel. Our voice.|","Emotions result in increased respiration rate, sweat, electrodermal activity, facial expression changes, gaze pattern changes, pupil changes, blood pressure changes, posture changes, gesture variations, and voice changes.|",3
"increases, also our respiration rate increases, we sweat, so the electrodermal activity in our skin also changes. Our facial expression changes, our gaze patterns change, our pupil changes as well, our blood pressure, and we have different body postures. We use different gestures depending on how we feel. Our voice.|","Emotions result in increased respiration rate, sweat, electrodermal activity changes, facial expression changes, gaze pattern changes, pupil changes, blood pressure changes, posture changes, gesture variations, and voice.|",2
"increases, also our respiration rate increases, we sweat, so the electrodermal activity in our skin also changes. Our facial expression changes, our gaze patterns change, our pupil changes as well, our blood pressure, and we have different body postures. We use different gestures depending on how we feel. Our voice.|","Emotions intensify respiration rate, sweating, electrodermal activity, facial expressions, gaze patterns, pupil changes, blood pressure, body postures, gestures, and alter voice.|",1
"can change as well, the way we write, the way we type in our phones, for instance. So there are a lot of signals that change with our emotions. So what we can do is all of these signals can be captured with different types of sensors. And then we.|","Our emotions can alter how we write and type, and various sensors can detect these signals.|",9
"capture these signals, and if we have data, label data with emotions, What we can do is we can try to find patterns in these signals that correlate with emotions and develop machine learning algorithms or systems that can recognize the emotions using this type of information. The same way.|","Analyze signals, label data with emotions, identify patterns, and create algorithms for emotion recognition.|",1
"capture these signals, and if we have data, label data with emotions, What we can do is we can try to find patterns in these signals that correlate with emotions and develop machine learning algorithms or systems that can recognize the emotions using this type of information. The same way.|","Study signals, label emotions, find patterns, and build emotion-recognizing algorithms.|",2
"capture these signals, and if we have data, label data with emotions, What we can do is we can try to find patterns in these signals that correlate with emotions and develop machine learning algorithms or systems that can recognize the emotions using this type of information. The same way.|","Process signals, label emotions, detect patterns, and design emotion-recognition algorithms.|",3
"capture these signals, and if we have data, label data with emotions, What we can do is we can try to find patterns in these signals that correlate with emotions and develop machine learning algorithms or systems that can recognize the emotions using this type of information. The same way.|","Capture signals, label data with emotions, find patterns, and build emotion-recognizing systems.|",4
"capture these signals, and if we have data, label data with emotions, What we can do is we can try to find patterns in these signals that correlate with emotions and develop machine learning algorithms or systems that can recognize the emotions using this type of information. The same way.|","Capture signals, label emotions, find patterns, develop algorithms for emotion recognition.|",5
"capture these signals, and if we have data, label data with emotions, What we can do is we can try to find patterns in these signals that correlate with emotions and develop machine learning algorithms or systems that can recognize the emotions using this type of information. The same way.|","Capture signals, label emotions, find patterns, and develop emotion-recognition systems.|",6
"capture these signals, and if we have data, label data with emotions, What we can do is we can try to find patterns in these signals that correlate with emotions and develop machine learning algorithms or systems that can recognize the emotions using this type of information. The same way.|","Capture signals, label emotions, identify patterns, build emotion-recognition systems.|",7
"capture these signals, and if we have data, label data with emotions, What we can do is we can try to find patterns in these signals that correlate with emotions and develop machine learning algorithms or systems that can recognize the emotions using this type of information. The same way.|","Capture signals, label emotions, find patterns, and recognize those emotions.|",8
"capture these signals, and if we have data, label data with emotions, What we can do is we can try to find patterns in these signals that correlate with emotions and develop machine learning algorithms or systems that can recognize the emotions using this type of information. The same way.|","Capture signals, label emotions, find patterns, recognize emotions.|",9
"We process other type of information. I'm going to focus first on the, so I'm going to talk about some examples of how can we capture this emotional information. And I'm going to start with vision modality, which is one of my areas of expertise. So visual modality, cameras. What.|","I'll discuss capturing emotional info in vision modality, my expertise.|",9
"We process other type of information. I'm going to focus first on the, so I'm going to talk about some examples of how can we capture this emotional information. And I'm going to start with vision modality, which is one of my areas of expertise. So visual modality, cameras. What.|","Discussing emotional information, I’ll start with vision modality.|",8
"We process other type of information. I'm going to focus first on the, so I'm going to talk about some examples of how can we capture this emotional information. And I'm going to start with vision modality, which is one of my areas of expertise. So visual modality, cameras. What.|",I'll first talk about capturing emotional information through vision.|,7
"We process other type of information. I'm going to focus first on the, so I'm going to talk about some examples of how can we capture this emotional information. And I'm going to start with vision modality, which is one of my areas of expertise. So visual modality, cameras. What.|",I'll discuss how to capture emotional information using vision.|,6
"We process other type of information. I'm going to focus first on the, so I'm going to talk about some examples of how can we capture this emotional information. And I'm going to start with vision modality, which is one of my areas of expertise. So visual modality, cameras. What.|",I'll talk about capturing emotional information using vision modality.|,5
"We process other type of information. I'm going to focus first on the, so I'm going to talk about some examples of how can we capture this emotional information. And I'm going to start with vision modality, which is one of my areas of expertise. So visual modality, cameras. What.|",I'll focus on capturing emotional information using visual data.|,4
"We process other type of information. I'm going to focus first on the, so I'm going to talk about some examples of how can we capture this emotional information. And I'm going to start with vision modality, which is one of my areas of expertise. So visual modality, cameras. What.|","First, I'll explore capturing emotional data through vision.|",3
"We process other type of information. I'm going to focus first on the, so I'm going to talk about some examples of how can we capture this emotional information. And I'm going to start with vision modality, which is one of my areas of expertise. So visual modality, cameras. What.|",I'll start with explaining emotional data captured by vision.|,2
"We process other type of information. I'm going to focus first on the, so I'm going to talk about some examples of how can we capture this emotional information. And I'm going to start with vision modality, which is one of my areas of expertise. So visual modality, cameras. What.|",I'll explain how vision captures emotional information.|,1
"has been done so far for recognizing emotions from information captured by cameras? Any idea? What's the most popular research from a computer vision perspective to recognize emotions? So facial expression is actually the most common approach to recognize emotions. So when I was doing my PhD, I finished like.|","What has been done in emotion recognition using cameras? Do you know? Facial expression analysis is popular in computer vision for emotion recognition. During my PhD, I completed like.|",1
"has been done so far for recognizing emotions from information captured by cameras? Any idea? What's the most popular research from a computer vision perspective to recognize emotions? So facial expression is actually the most common approach to recognize emotions. So when I was doing my PhD, I finished like.|","What progress has been made in recognizing emotions with cameras? Know any popular methods? Facial expressions are often used in computer vision for this. When I did my PhD, I concluded like.|",2
"has been done so far for recognizing emotions from information captured by cameras? Any idea? What's the most popular research from a computer vision perspective to recognize emotions? So facial expression is actually the most common approach to recognize emotions. So when I was doing my PhD, I finished like.|","How far has emotion recognition via cameras advanced? Any known methods? Facial expressions are a common approach in computer vision. During my PhD, I wrapped up like.|",3
"has been done so far for recognizing emotions from information captured by cameras? Any idea? What's the most popular research from a computer vision perspective to recognize emotions? So facial expression is actually the most common approach to recognize emotions. So when I was doing my PhD, I finished like.|","What has been done to recognize emotions using cameras? Any ideas? Facial expressions are a common approach in computer vision. During my PhD, I finished like.|",4
"has been done so far for recognizing emotions from information captured by cameras? Any idea? What's the most popular research from a computer vision perspective to recognize emotions? So facial expression is actually the most common approach to recognize emotions. So when I was doing my PhD, I finished like.|",How has emotion recognition from cameras advanced? Know any methods? Facial expressions are widely studied in computer vision. I concluded my PhD like.|,5
"has been done so far for recognizing emotions from information captured by cameras? Any idea? What's the most popular research from a computer vision perspective to recognize emotions? So facial expression is actually the most common approach to recognize emotions. So when I was doing my PhD, I finished like.|","What has been done in emotion recognition via cameras? Any ideas? Facial expression analysis is common in computer vision. When I did my PhD, I finished like.|",6
"has been done so far for recognizing emotions from information captured by cameras? Any idea? What's the most popular research from a computer vision perspective to recognize emotions? So facial expression is actually the most common approach to recognize emotions. So when I was doing my PhD, I finished like.|","What has been done for recognizing emotions with cameras? Any knowledge? Facial expression analysis is common in computer vision. During my PhD, I finished like.|",7
"has been done so far for recognizing emotions from information captured by cameras? Any idea? What's the most popular research from a computer vision perspective to recognize emotions? So facial expression is actually the most common approach to recognize emotions. So when I was doing my PhD, I finished like.|","How far has emotion recognition using cameras come? Any ideas? Facial expression analysis is popular in computer vision. When I did my PhD, I completed like.|",8
"has been done so far for recognizing emotions from information captured by cameras? Any idea? What's the most popular research from a computer vision perspective to recognize emotions? So facial expression is actually the most common approach to recognize emotions. So when I was doing my PhD, I finished like.|","How has emotion recognition via cameras progressed? Any idea? Facial expressions are often used in computer vision. During my PhD, I wrapped up like.|",9
"10 years ago now. And this was a completely unsolved problem. So I was working a little bit in this type of software, trying to recognize key points in the faces, working with images acquired under controlled environments, and nothing was working by then. So now after 10 years, we.|","Ten years ago, the issue was unsolved. I tried software for face recognition with controlled images, but it didn't work.|",1
"have these softwares that work very well in recognizing some of the key points on your face, tracking these key points, and doing some matching between the emotions, so the expressions that are observed and the possible emotions that they are expressing. This is an example of a commercial software.|",These applications track facial points and match them with emotions. It is an example of a commercial software.|,9
"have these softwares that work very well in recognizing some of the key points on your face, tracking these key points, and doing some matching between the emotions, so the expressions that are observed and the possible emotions that they are expressing. This is an example of a commercial software.|",These programs identify key facial points and match them with probable emotions. This is commercial software.|,8
"have these softwares that work very well in recognizing some of the key points on your face, tracking these key points, and doing some matching between the emotions, so the expressions that are observed and the possible emotions that they are expressing. This is an example of a commercial software.|",These software tools detect face points and associate them with emotions. This is commercial software.|,7
"have these softwares that work very well in recognizing some of the key points on your face, tracking these key points, and doing some matching between the emotions, so the expressions that are observed and the possible emotions that they are expressing. This is an example of a commercial software.|",The software effectively tracks facial points and links them with specific emotions. It represents commercial software.|,6
"have these softwares that work very well in recognizing some of the key points on your face, tracking these key points, and doing some matching between the emotions, so the expressions that are observed and the possible emotions that they are expressing. This is an example of a commercial software.|","This software identifies facial points, tracks them, and matches them with emotions. It exemplifies commercial software.|",5
"have these softwares that work very well in recognizing some of the key points on your face, tracking these key points, and doing some matching between the emotions, so the expressions that are observed and the possible emotions that they are expressing. This is an example of a commercial software.|","The software works by recognizing facial points, tracking them, and matching emotions. It is indicative of commercial software.|",4
"have these softwares that work very well in recognizing some of the key points on your face, tracking these key points, and doing some matching between the emotions, so the expressions that are observed and the possible emotions that they are expressing. This is an example of a commercial software.|","This commercial software recognizes key facial points, tracks them, and matches observed expressions with emotions.|",3
"have these softwares that work very well in recognizing some of the key points on your face, tracking these key points, and doing some matching between the emotions, so the expressions that are observed and the possible emotions that they are expressing. This is an example of a commercial software.|","The software accurately identifies facial points, keeps track of them, and matches expressions with emotions. It is an example of commercial software.|",2
"have these softwares that work very well in recognizing some of the key points on your face, tracking these key points, and doing some matching between the emotions, so the expressions that are observed and the possible emotions that they are expressing. This is an example of a commercial software.|","Commercial software effectively identifies facial points, monitors them, and matches expressions with potential emotions.|",1
"from a company called Affectiva, where you see that the software detects your key points, analyzes the configuration, and makes some kind of correspondence between this expression and the possible emotion that you are expressing with the facial expression. This software works very well, so it's very well at detecting.|","Affectiva's software identifies key points, analyzes configurations, and links them to emotions, excelling in detection.|",9
"from a company called Affectiva, where you see that the software detects your key points, analyzes the configuration, and makes some kind of correspondence between this expression and the possible emotion that you are expressing with the facial expression. This software works very well, so it's very well at detecting.|","Affectiva software detects key points, analyzes them, and links to emotions effectively.|",8
"from a company called Affectiva, where you see that the software detects your key points, analyzes the configuration, and makes some kind of correspondence between this expression and the possible emotion that you are expressing with the facial expression. This software works very well, so it's very well at detecting.|","Affectiva software detects, analyzes, and connects expressions to emotions accurately.|",7
"from a company called Affectiva, where you see that the software detects your key points, analyzes the configuration, and makes some kind of correspondence between this expression and the possible emotion that you are expressing with the facial expression. This software works very well, so it's very well at detecting.|","Affectiva’s tool detects facial points, analyzes them, and matches them to potential emotions accurately.|",6
"from a company called Affectiva, where you see that the software detects your key points, analyzes the configuration, and makes some kind of correspondence between this expression and the possible emotion that you are expressing with the facial expression. This software works very well, so it's very well at detecting.|","Affectiva software detects facial points, analyzes configuration, and relates them to emotions precisely.|",5
"from a company called Affectiva, where you see that the software detects your key points, analyzes the configuration, and makes some kind of correspondence between this expression and the possible emotion that you are expressing with the facial expression. This software works very well, so it's very well at detecting.|","Affectiva software identifies key facial points, analyzes expressions, and links them to emotions.|",4
"from a company called Affectiva, where you see that the software detects your key points, analyzes the configuration, and makes some kind of correspondence between this expression and the possible emotion that you are expressing with the facial expression. This software works very well, so it's very well at detecting.|","Affectiva detects facial points, analyzes them, and relates them to possible emotions.|",3
"from a company called Affectiva, where you see that the software detects your key points, analyzes the configuration, and makes some kind of correspondence between this expression and the possible emotion that you are expressing with the facial expression. This software works very well, so it's very well at detecting.|","Affectiva spots key facial points, examines them, and matches them to emotions.|",2
"from a company called Affectiva, where you see that the software detects your key points, analyzes the configuration, and makes some kind of correspondence between this expression and the possible emotion that you are expressing with the facial expression. This software works very well, so it's very well at detecting.|",Affectiva detects facial points and ties them to emotions.|,1
"the patterns, it's very while detecting the key points, it's complicated to associate the correct emotion to an expression, a phase expression, but it works pretty well in some applications. It's being used for test users, for instance, but the problem of this software is that it does not work.|","Recognizing patterns is tough; linking emotion to expressions is hard, yet it works well in some cases. It's used for test users but has its flaws.|",1
"the patterns, it's very while detecting the key points, it's complicated to associate the correct emotion to an expression, a phase expression, but it works pretty well in some applications. It's being used for test users, for instance, but the problem of this software is that it does not work.|","It's hard to identify patterns and emotions in expressions. It works fine for some applications and test users, but there are problems.|",2
"the patterns, it's very while detecting the key points, it's complicated to associate the correct emotion to an expression, a phase expression, but it works pretty well in some applications. It's being used for test users, for instance, but the problem of this software is that it does not work.|","Identifying key points and emotions in expressions is hard. It works well in some cases, like user testing, but it has flaws.|",3
"the patterns, it's very while detecting the key points, it's complicated to associate the correct emotion to an expression, a phase expression, but it works pretty well in some applications. It's being used for test users, for instance, but the problem of this software is that it does not work.|",Spotting patterns and linking emotions to expressions is difficult. It functions well in some applications for test users but has issues.|,4
"the patterns, it's very while detecting the key points, it's complicated to associate the correct emotion to an expression, a phase expression, but it works pretty well in some applications. It's being used for test users, for instance, but the problem of this software is that it does not work.|","Recognizing patterns and emotions in expressions is challenging. It performs well for some uses, like testing users, but has problems.|",5
"the patterns, it's very while detecting the key points, it's complicated to associate the correct emotion to an expression, a phase expression, but it works pretty well in some applications. It's being used for test users, for instance, but the problem of this software is that it does not work.|","It's challenging to detect patterns and connect emotions to expressions. It works well in specific applications, like user tests, but has issues.|",6
"the patterns, it's very while detecting the key points, it's complicated to associate the correct emotion to an expression, a phase expression, but it works pretty well in some applications. It's being used for test users, for instance, but the problem of this software is that it does not work.|","Identifying patterns and emotions in expressions is tough. It works well for certain tasks like testing users, despite some problems.|",7
"the patterns, it's very while detecting the key points, it's complicated to associate the correct emotion to an expression, a phase expression, but it works pretty well in some applications. It's being used for test users, for instance, but the problem of this software is that it does not work.|","Detecting patterns and emotions in expressions is hard. It works well for user tests, but it has some issues.|",8
"the patterns, it's very while detecting the key points, it's complicated to associate the correct emotion to an expression, a phase expression, but it works pretty well in some applications. It's being used for test users, for instance, but the problem of this software is that it does not work.|",It's hard to detect patterns and emotions in expressions. It works well for user tests but has some problems.|,9
"in the wild. So we would like to have machines that can recognize emotions in any condition. So, if we go back to this image that I showed you before, what happens when we run this type of software here? So if we run this type of commercial software, we.|",Machines should recognize emotions in any condition. Running commercial software on the image shows what happens.|,9
"in the wild. So we would like to have machines that can recognize emotions in any condition. So, if we go back to this image that I showed you before, what happens when we run this type of software here? So if we run this type of commercial software, we.|",Machines need to recognize emotions under all conditions; using commercial software on the image shows what occurs.|,8
"in the wild. So we would like to have machines that can recognize emotions in any condition. So, if we go back to this image that I showed you before, what happens when we run this type of software here? So if we run this type of commercial software, we.|",Emotions should be recognized by machines in any situation. Observing the image processed by such software shows the outcome.|,7
"in the wild. So we would like to have machines that can recognize emotions in any condition. So, if we go back to this image that I showed you before, what happens when we run this type of software here? So if we run this type of commercial software, we.|",We want machines to recognize emotions anywhere. Running software on the image reveals what happens.|,6
"in the wild. So we would like to have machines that can recognize emotions in any condition. So, if we go back to this image that I showed you before, what happens when we run this type of software here? So if we run this type of commercial software, we.|",Machines should detect emotions in any condition. Processing the image with software shows the result.|,5
"in the wild. So we would like to have machines that can recognize emotions in any condition. So, if we go back to this image that I showed you before, what happens when we run this type of software here? So if we run this type of commercial software, we.|",Machines must recognize emotions in any circumstance. The software runs on the image to show us the outcome.|,4
"in the wild. So we would like to have machines that can recognize emotions in any condition. So, if we go back to this image that I showed you before, what happens when we run this type of software here? So if we run this type of commercial software, we.|",Machines need to recognize emotions everywhere. Running software on the image demonstrates what happens.|,3
"in the wild. So we would like to have machines that can recognize emotions in any condition. So, if we go back to this image that I showed you before, what happens when we run this type of software here? So if we run this type of commercial software, we.|",Machines need to recognize emotions everywhere. Running software on this image shows what happens.|,2
"in the wild. So we would like to have machines that can recognize emotions in any condition. So, if we go back to this image that I showed you before, what happens when we run this type of software here? So if we run this type of commercial software, we.|",We want machines to recognize emotions everywhere. Running software on this image shows the results.|,1
"can detect very well the face of this woman, we can detect the key points, and the software is answering in this case that this woman is feeling happiness because it detects a smile with a strong confidence, it detects attention. I don't know exactly how this detection of attention.|","The woman's face is detected well, key points identified, and the software says she is happy because it detects a confident smile and attention. Exact detection method for attention is unclear.|",8
"can detect very well the face of this woman, we can detect the key points, and the software is answering in this case that this woman is feeling happiness because it detects a smile with a strong confidence, it detects attention. I don't know exactly how this detection of attention.|","The software accurately detects the woman's face and key points, concluding she is happy due to a confident smile and detecting attention, though I am unsure how attention is detected.|",7
"can detect very well the face of this woman, we can detect the key points, and the software is answering in this case that this woman is feeling happiness because it detects a smile with a strong confidence, it detects attention. I don't know exactly how this detection of attention.|","The face of the woman is well detected with key points. The software says she is happy because it detects a smile and attention, though the attention detection method is unclear.|",6
"can detect very well the face of this woman, we can detect the key points, and the software is answering in this case that this woman is feeling happiness because it detects a smile with a strong confidence, it detects attention. I don't know exactly how this detection of attention.|","The software can detect the woman’s face and key points, indicating she’s happy due to a strong smile and attention detection, though the exact method is unknown.|",5
"can detect very well the face of this woman, we can detect the key points, and the software is answering in this case that this woman is feeling happiness because it detects a smile with a strong confidence, it detects attention. I don't know exactly how this detection of attention.|","The software detects the woman's face, key points, and her smile, indicating happiness with attention, but the method is unclear.|",4
"can detect very well the face of this woman, we can detect the key points, and the software is answering in this case that this woman is feeling happiness because it detects a smile with a strong confidence, it detects attention. I don't know exactly how this detection of attention.|","The software detects the woman's face and her smile, revealing happiness and attention, but how attention is detected is unclear.|",3
"can detect very well the face of this woman, we can detect the key points, and the software is answering in this case that this woman is feeling happiness because it detects a smile with a strong confidence, it detects attention. I don't know exactly how this detection of attention.|","The software detects the woman's face and smile, suggesting happiness and attention, though the method is unknown.|",2
"can detect very well the face of this woman, we can detect the key points, and the software is answering in this case that this woman is feeling happiness because it detects a smile with a strong confidence, it detects attention. I don't know exactly how this detection of attention.|","The software detects the woman's face and smile, indicating happiness, with an unknown attention method.|",1
"works here, but actually it's pretty accurate. But what happens with him? So what happens with him is that the system is not working. So here we have a problem and it's all the key points of the face are not actually visible. So we have strong occlusions and highlights.|",This is works but actually accurate. What happens with him? So what happens with him is that the system does not work. The problem is severe occlusions and key face points are not clear.|,3
"works here, but actually it's pretty accurate. But what happens with him? So what happens with him is that the system is not working. So here we have a problem and it's all the key points of the face are not actually visible. So we have strong occlusions and highlights.|","It works here but is quite accurate. He causes issues with the system malfunctioning, hiding face key points due to significant occlusions and highlights.|",4
"works here, but actually it's pretty accurate. But what happens with him? So what happens with him is that the system is not working. So here we have a problem and it's all the key points of the face are not actually visible. So we have strong occlusions and highlights.|","It works here, but not for him. The system fails due to severe occlusions, hiding face points.|",5
"works here, but actually it's pretty accurate. But what happens with him? So what happens with him is that the system is not working. So here we have a problem and it's all the key points of the face are not actually visible. So we have strong occlusions and highlights.|","The system works here, but malfunctions for him, causing face points to be unclear.|",6
